
2025/03/03 (15:37:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/03 (15:37:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/04 (02:04:40) | ===> btop++ v.1.4.0
2025/03/04 (02:04:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/04 (02:04:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/04 (05:40:28) | ===> btop++ v.1.4.0
2025/03/04 (05:40:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/04 (05:40:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/04 (05:55:18) | ===> btop++ v.1.4.0
2025/03/04 (05:55:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/04 (05:55:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/04 (06:27:53) | ===> btop++ v.1.4.0
2025/03/04 (06:27:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/04 (06:27:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/04 (06:28:30) | ===> btop++ v.1.4.0
2025/03/04 (06:28:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/04 (06:28:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/04 (06:45:03) | ===> btop++ v.1.4.0
2025/03/04 (06:45:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/04 (06:45:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/05 (16:58:19) | ===> btop++ v.1.4.0
2025/03/05 (16:58:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/05 (16:58:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/05 (17:56:14) | ===> btop++ v.1.4.0
2025/03/05 (17:56:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/05 (17:56:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (15:46:08) | ===> btop++ v.1.4.0
2025/03/06 (15:46:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (15:46:08) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/06 (16:17:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (16:17:16) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/03/06 (16:17:16) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/03/06 (16:17:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/06 (16:17:16) | WARNING: ROCm SMI: Failed to get GPU temperature

2025/03/06 (16:41:02) | ===> btop++ v.1.4.0
2025/03/06 (16:41:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (16:41:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/07 (03:08:30) | ===> btop++ v.1.4.0
2025/03/07 (03:08:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (03:08:30) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/07 (03:31:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/07 (03:31:48) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/03/07 (03:31:48) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/03/07 (03:31:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/07 (03:31:48) | WARNING: ROCm SMI: Failed to get GPU temperature

2025/03/07 (03:32:02) | ===> btop++ v.1.4.0
2025/03/07 (03:32:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (03:32:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/08 (22:49:14) | ===> btop++ v.1.4.0
